国家,累计确诊人数
Afghanistan,13659
Albania,1099
Algeria,9134
Andorra,764
Angola,77
Anguilla,3
Antigua and Barb.,25
Argentina,15406
Armenia,8676
Aruba,101
Australia,7173
Austria,16594
Azerbaijan,4989
Bahamas,102
Bahrain,10449
Bangladesh,42844
Barbados,92
Belarus,40764
Belgium,58061
Belize,18
Benin,224
Bermuda,140
Bhutan,33
Bolivia,8731
Bonaire Sint Eustatius and Saba,7
Bosnia and Herz.,2485
Botswana,35
Brazil,465166
British Virgin Islands,8
Brunei,141
Bulgaria,2499
Burkina Faso,847
Burundi,42
Cambodia,125
Cameroon,5436
Canada,89407
Cape Verde,405
Cayman Is.,141
Central African Rep.,874
Chad,759
Chile,90638
China,84123
Colombia,26688
Comoros,87
Congo,587
Costa Rica,1022
Côte d'Ivoire,2750
Croatia,2245
Cuba,2005
Curaçao,19
Cyprus,941
Czech Rep.,9196
Dem. Rep. Congo,2833
Denmark,11593
Djibouti,2914
Dominica,16
Dominican Rep.,16531
Ecuador,38571
Egypt,22082
El Salvador,2278
Eq. Guinea,1043
Eritrea,39
Estonia,1859
Ethiopia,968
Faeroe Is.,187
Falkland Is.,13
Fiji,18
Finland,6776
France,149668
Fr. Polynesia,60
Gabon,2613
Gambia,25
Georgia,746
Germany,181196
Ghana,7616
Gibraltar,161
Greece,2909
Greenland,13
Grenada,23
Guam,172
Guatemala,4607
Guernsey,252
Guinea,3656
Guinea-Bissau,1256
Guyana,150
Haiti,1584
Honduras,4886
Hong Kong,0
Hungary,3841
Iceland,1805
India,173763
Indonesia,25216
International,696
Iran,146668
Iraq,5873
Ireland,24876
Isle of Man,336
Israel,16987
Italy,232248
Jamaica,575
Japan,16804
Jersey,308
Jordan,730
Kazakhstan,10382
Kenya,1745
Kosovo,1048
Kuwait,25184
Kyrgyzstan,1722
Lao PDR,19
Latvia,1064
Lebanon,1172
Lesotho,2
Liberia,273
Libya,118
Liechtenstein,83
Lithuania,1662
Luxembourg,4012
Macedonia,2130
Madagascar,698
Malawi,273
Malaysia,7732
Maldives,1591
Mali,1226
Malta,616
Mauritania,423
Mauritius,335
Mexico,84627
Moldova,7896
Monaco,98
Mongolia,179
Montenegro,324
Montserrat,11
Morocco,7714
Mozambique,234
Myanmar,224
Namibia,23
Nepal,1212
Netherlands,46126
New Caledonia,19
New Zealand,1154
Nicaragua,759
Niger,955
Nigeria,9302
N. Mariana Is.,22
Norway,8411
Oman,9820
Pakistan,66457
Palestine,625
Panama,12531
Papua New Guinea,8
Paraguay,917
Peru,148285
Philippines,16634
Poland,23155
Portugal,31946
Puerto Rico,3647
Qatar,52907
Romania,18982
Russia,387623
Rwanda,355
Saint Kitts and Nevis,15
Saint Lucia,18
St. Vin. and Gren.,26
San Marino,671
São Tomé and Principe,463
Saudi Arabia,81766
Senegal,3429
Serbia,11354
Seychelles,11
Sierra Leone,829
Singapore,33860
Sint Maarten (Dutch part),77
Slovakia,1520
Slovenia,1473
Somalia,1828
South Africa,29240
Korea,11441
S. Sudan,994
Spain,238564
Sri Lanka,1558
Sudan,4521
Suriname,12
Swaziland,279
Sweden,36476
Switzerland,30745
Syria,122
Taiwan,442
Tajikistan,3563
Tanzania,509
Thailand,3076
Timor-Leste,24
Togo,428
Trinidad and Tobago,116
Tunisia,1071
Turkey,162120
Turks and Caicos Is.,12
Uganda,329
Ukraine,23204
United Arab Emirates,33170
United Kingdom,271222
United States,1747087
U.S. Virgin Is.,69
Uruguay,816
Uzbekistan,3513
Vatican,12
Venezuela,1369
Vietnam,327
W. Sahara,23
World,5899866
Yemen,287
Zambia,1057
Zimbabwe,160
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
