国家,累计病死人数
Afghanistan,246
Albania,33
Algeria,638
Andorra,51
Angola,4
Anguilla,0
Antigua and Barb.,3
Argentina,520
Armenia,120
Aruba,3
Australia,103
Austria,668
Azerbaijan,58
Bahamas,11
Bahrain,15
Bangladesh,582
Barbados,7
Belarus,224
Belgium,9443
Belize,2
Benin,3
Bermuda,9
Bhutan,0
Bolivia,300
Bonaire Sint Eustatius and Saba,0
Bosnia and Herz.,153
Botswana,1
Brazil,27878
British Virgin Islands,1
Brunei,2
Bulgaria,139
Burkina Faso,53
Burundi,1
Cambodia,0
Cameroon,177
Canada,6979
Cape Verde,4
Cayman Is.,1
Central African Rep.,1
Chad,65
Chile,944
China,4638
Colombia,853
Comoros,2
Congo,19
Costa Rica,10
Côte d'Ivoire,32
Croatia,103
Cuba,82
Curaçao,1
Cyprus,17
Czech Rep.,319
Dem. Rep. Congo,69
Denmark,568
Djibouti,20
Dominica,0
Dominican Rep.,488
Ecuador,3334
Egypt,879
El Salvador,43
Eq. Guinea,12
Eritrea,0
Estonia,67
Ethiopia,8
Faeroe Is.,0
Falkland Is.,0
Fiji,0
Finland,314
France,28714
Fr. Polynesia,0
Gabon,15
Gambia,1
Georgia,12
Germany,8489
Ghana,34
Gibraltar,0
Greece,175
Greenland,0
Grenada,0
Guam,5
Guatemala,90
Guernsey,13
Guinea,22
Guinea-Bissau,8
Guyana,11
Haiti,35
Honduras,199
Hong Kong,0
Hungary,517
Iceland,10
India,4971
Indonesia,1520
International,7
Iran,7677
Iraq,185
Ireland,1645
Isle of Man,24
Israel,284
Italy,33229
Jamaica,9
Japan,886
Jersey,29
Jordan,9
Kazakhstan,37
Kenya,62
Kosovo,30
Kuwait,194
Kyrgyzstan,16
Lao PDR,0
Latvia,24
Lebanon,26
Lesotho,0
Liberia,27
Libya,5
Liechtenstein,1
Lithuania,68
Luxembourg,110
Macedonia,126
Madagascar,5
Malawi,4
Malaysia,115
Maldives,5
Mali,73
Malta,7
Mauritania,20
Mauritius,10
Mexico,9415
Moldova,288
Monaco,5
Mongolia,0
Montenegro,9
Montserrat,1
Morocco,202
Mozambique,2
Myanmar,6
Namibia,0
Nepal,6
Netherlands,5931
New Caledonia,0
New Zealand,22
Nicaragua,35
Niger,64
Nigeria,261
N. Mariana Is.,2
Norway,236
Oman,40
Pakistan,1395
Palestine,5
Panama,326
Papua New Guinea,0
Paraguay,11
Peru,4230
Philippines,942
Poland,1051
Portugal,1383
Puerto Rico,132
Qatar,36
Romania,1240
Russia,4374
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
St. Vin. and Gren.,0
San Marino,42
São Tomé and Principe,12
Saudi Arabia,458
Senegal,41
Serbia,242
Seychelles,0
Sierra Leone,45
Singapore,23
Sint Maarten (Dutch part),15
Slovakia,28
Slovenia,108
Somalia,72
South Africa,611
Korea,269
S. Sudan,10
Spain,27121
Sri Lanka,10
Sudan,233
Suriname,1
Swaziland,2
Sweden,4350
Switzerland,1656
Syria,4
Taiwan,7
Tajikistan,47
Tanzania,21
Thailand,57
Timor-Leste,0
Togo,13
Trinidad and Tobago,8
Tunisia,48
Turkey,4489
Turks and Caicos Is.,1
Uganda,0
Ukraine,696
United Arab Emirates,260
United Kingdom,38161
United States,102836
U.S. Virgin Is.,6
Uruguay,22
Uzbekistan,14
Vatican,0
Venezuela,14
Vietnam,0
W. Sahara,1
World,364891
Yemen,66
Zambia,7
Zimbabwe,4
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
