国家,累计病死人数
Afghanistan,235
Albania,33
Algeria,630
Andorra,51
Angola,4
Anguilla,0
Antigua and Barb.,3
Argentina,508
Armenia,113
Aruba,3
Australia,103
Austria,668
Azerbaijan,56
Bahamas,11
Bahrain,15
Bangladesh,559
Barbados,7
Belarus,219
Belgium,9388
Belize,2
Benin,3
Bermuda,9
Bhutan,0
Bolivia,293
Bonaire Sint Eustatius and Saba,0
Bosnia and Herz.,153
Botswana,1
Brazil,26754
British Virgin Islands,1
Brunei,2
Bulgaria,136
Burkina Faso,53
Burundi,1
Cambodia,0
Cameroon,177
Canada,6877
Cape Verde,4
Cayman Is.,1
Central African Rep.,1
Chad,65
Chile,890
China,4638
Colombia,822
Comoros,2
Congo,19
Costa Rica,10
Côte d'Ivoire,32
Croatia,102
Cuba,82
Curaçao,1
Cyprus,17
Czech Rep.,319
Dem. Rep. Congo,69
Denmark,568
Djibouti,20
Dominica,0
Dominican Rep.,485
Ecuador,3313
Egypt,845
El Salvador,39
Eq. Guinea,12
Eritrea,0
Estonia,66
Ethiopia,7
Faeroe Is.,0
Falkland Is.,0
Fiji,0
Finland,313
France,28662
Fr. Polynesia,0
Gabon,14
Gambia,1
Georgia,12
Germany,8450
Ghana,34
Gibraltar,0
Greece,175
Greenland,0
Grenada,0
Guam,5
Guatemala,80
Guernsey,13
Guinea,22
Guinea-Bissau,7
Guyana,11
Haiti,35
Honduras,196
Hong Kong,0
Hungary,517
Iceland,10
India,4706
Indonesia,1496
International,7
Iran,7627
Iraq,179
Ireland,1639
Isle of Man,24
Israel,284
Italy,33142
Jamaica,9
Japan,874
Jersey,29
Jordan,9
Kazakhstan,37
Kenya,58
Kosovo,30
Kuwait,185
Kyrgyzstan,16
Lao PDR,0
Latvia,24
Lebanon,26
Lesotho,0
Liberia,27
Libya,5
Liechtenstein,1
Lithuania,68
Luxembourg,110
Macedonia,122
Madagascar,2
Malawi,4
Malaysia,115
Maldives,5
Mali,72
Malta,7
Mauritania,16
Mauritius,10
Mexico,9044
Moldova,282
Monaco,5
Mongolia,0
Montenegro,9
Montserrat,1
Morocco,202
Mozambique,2
Myanmar,6
Namibia,0
Nepal,5
Netherlands,5903
New Caledonia,0
New Zealand,22
Nicaragua,35
Niger,64
Nigeria,259
N. Mariana Is.,2
Norway,236
Oman,40
Pakistan,1317
Palestine,5
Panama,320
Papua New Guinea,0
Paraguay,11
Peru,4099
Philippines,921
Poland,1038
Portugal,1369
Puerto Rico,131
Qatar,33
Romania,1229
Russia,4142
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
St. Vin. and Gren.,0
San Marino,42
São Tomé and Principe,12
Saudi Arabia,441
Senegal,41
Serbia,241
Seychelles,0
Sierra Leone,45
Singapore,23
Sint Maarten (Dutch part),15
Slovakia,28
Slovenia,108
Somalia,72
South Africa,577
Korea,269
S. Sudan,8
Spain,27119
Sri Lanka,10
Sudan,195
Suriname,1
Swaziland,2
Sweden,4266
Switzerland,1654
Syria,4
Taiwan,7
Tajikistan,47
Tanzania,21
Thailand,57
Timor-Leste,0
Togo,13
Trinidad and Tobago,8
Tunisia,48
Turkey,4461
Turks and Caicos Is.,1
Uganda,0
Ukraine,669
United Arab Emirates,258
United Kingdom,37837
United States,101617
U.S. Virgin Is.,6
Uruguay,22
Uzbekistan,14
Vatican,0
Venezuela,11
Vietnam,0
W. Sahara,0
World,360089
Yemen,57
Zambia,7
Zimbabwe,4
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
