国家,累计死亡人数
Falkland Is.,0
Malta,5
Palestine,4
Bangladesh,206
Ukraine,361
Sierra Leone,17
Kosovo,28
Suriname,1
Luxembourg,100
Norway,213
Aruba,3
Chile,294
Faeroe Is.,0
Japan,601
Sri Lanka,9
Malawi,3
Sweden,3175
Dem. Rep. Congo,39
Ecuador,1704
Fiji,0
United Kingdom,31241
Iraq,104
Central African Rep.,0
Dominica,0
Jordan,9
Latvia,18
Costa Rica,6
Barbados,7
Panama,231
Bolivia,106
Bosnia and Herz.,98
Gibraltar,0
W. Sahara,0
New Zealand,21
Portugal,1114
Israel,245
Liberia,20
Paraguay,10
Slovakia,26
Seychelles,0
Syria,3
Togo,10
Zimbabwe,4
Ethiopia,4
Montenegro,8
Saint Lucia,0
Zambia,4
United Arab Emirates,174
Pakistan,618
Senegal,14
Vatican,0
Hong Kong,0
Bulgaria,88
Argentina,293
Belize,2
Colombia,428
Cape Verde,2
Cuba,74
Switzerland,1525
Oman,15
Turkey,3689
Greece,150
Ireland,1429
Mozambique,0
Malaysia,107
Mauritania,1
Belarus,121
Algeria,488
Djibouti,3
Lebanon,26
Nigeria,117
Comoros,1
Iceland,10
Bhutan,0
Guyana,10
Andorra,47
Vietnam,0
Myanmar,6
Brazil,9897
Benin,2
Korea,256
Singapore,20
Romania,898
France,26230
Curaçao,1
Iran,6541
Papua New Guinea,0
Cayman Is.,1
Yemen,7
Tajikistan,12
Lithuania,49
Trinidad and Tobago,8
Gambia,1
S. Sudan,0
Ghana,18
Jamaica,9
Swaziland,2
Saint Kitts and Nevis,0
Uganda,0
St. Vin. and Gren.,0
Tunisia,45
Eq. Guinea,4
India,1981
Sudan,59
Thailand,55
Cambodia,0
Azerbaijan,28
Finland,260
Maldives,3
Poland,776
Congo,10
Egypt,503
Guinea-Bissau,2
New Caledonia,0
Puerto Rico,107
San Marino,41
Kenya,29
Afghanistan,109
Czech Rep.,273
Libya,3
Kuwait,47
Somalia,44
Canada,4569
Uruguay,18
United States,77180
Brunei,1
Timor-Leste,0
Mauritius,10
Albania,31
Guam,5
World,274290
Honduras,107
Germany,7369
Antigua and Barb.,3
Macedonia,90
Philippines,696
Peru,1714
Tanzania,21
U.S. Virgin Is.,4
Indonesia,943
International,7
Jersey,25
China,4637
Monaco,4
Bonaire Sint Eustatius and Saba,0
Botswana,1
Lao PDR,0
Mexico,3160
Mongolia,0
Netherlands,5359
Namibia,0
Greenland,0
Hungary,405
Estonia,56
Haiti,12
Croatia,86
Qatar,12
Russia,1723
Montserrat,1
Liechtenstein,1
Moldova,152
Nicaragua,5
El Salvador,16
Turks and Caicos Is.,1
Bermuda,7
Anguilla,0
Burundi,1
Morocco,186
Italy,30201
Belgium,8521
Uzbekistan,10
Serbia,209
Taiwan,6
Venezuela,10
South Africa,178
Spain,26251
N. Mariana Is.,2
Eritrea,0
Armenia,43
Bahrain,8
Chad,28
Guinea,11
Saudi Arabia,229
Guatemala,24
São Tomé and Principe,5
Gabon,8
Cameroon,108
Slovenia,100
Sint Maarten (Dutch part),15
Austria,614
Angola,2
Grenada,0
Rwanda,0
Madagascar,0
Côte d'Ivoire,20
Burkina Faso,48
Kyrgyzstan,12
Fr. Polynesia,0
Bahamas,11
Cyprus,21
Australia,97
Niger,44
Nepal,0
Guernsey,13
Kazakhstan,31
Denmark,522
Isle of Man,23
Georgia,10
Dominican Rep.,380
British Virgin Islands,1
Mali,35
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
