国家,累计死亡人数
Bangladesh,206
Zambia,4
Falkland Is.,0
Malta,5
Palestine,4
Kosovo,28
Sierra Leone,17
Suriname,1
Aruba,3
Chile,294
Luxembourg,100
Norway,213
Malawi,3
Sri Lanka,9
Japan,601
Jordan,9
Fiji,0
Dem. Rep. Congo,39
Ecuador,1704
Faeroe Is.,0
Dominica,0
Iraq,104
United Kingdom,31241
Central African Rep.,0
Barbados,7
Costa Rica,6
Latvia,18
Panama,231
Bosnia and Herz.,98
Bolivia,106
Gibraltar,0
Israel,245
Portugal,1114
Paraguay,10
W. Sahara,0
New Zealand,21
Slovakia,26
Sweden,3175
Liberia,20
Ethiopia,4
Seychelles,0
Zimbabwe,4
Saint Lucia,0
Montenegro,8
Pakistan,618
United Arab Emirates,174
Bulgaria,88
Hong Kong,0
Senegal,14
Ukraine,361
Cuba,74
Togo,10
Belize,2
Argentina,293
Colombia,428
Cape Verde,2
Switzerland,1525
Oman,15
Syria,3
Ireland,1429
Greece,150
Mozambique,0
Malaysia,107
Belarus,121
Algeria,488
Mauritania,1
Turkey,3689
Nigeria,117
Djibouti,3
Lebanon,26
Vatican,0
Bhutan,0
Guyana,10
Comoros,1
Iceland,10
Myanmar,6
Vietnam,0
Andorra,47
Brazil,9897
Benin,2
Korea,256
Singapore,20
Romania,898
Curaçao,1
Iran,6541
France,26230
Papua New Guinea,0
Cayman Is.,1
Yemen,7
Lithuania,49
Tajikistan,12
Trinidad and Tobago,8
Ghana,18
Swaziland,2
Gambia,1
S. Sudan,0
Saint Kitts and Nevis,0
Uganda,0
Jamaica,9
India,1981
Eq. Guinea,4
Sudan,59
Tunisia,45
Azerbaijan,28
Cambodia,0
Thailand,55
St. Vin. and Gren.,0
Poland,776
Finland,260
Maldives,3
Puerto Rico,107
Guinea-Bissau,2
New Caledonia,0
Congo,10
Afghanistan,109
Kenya,29
Egypt,503
San Marino,41
Somalia,44
Kuwait,47
Libya,3
Czech Rep.,273
Brunei,1
Uruguay,18
United States,77180
Canada,4569
World,274290
Albania,31
Guam,5
Mauritius,10
Germany,7369
Antigua and Barb.,3
Honduras,107
Macedonia,90
Timor-Leste,0
Peru,1714
Philippines,696
China,4637
Jersey,25
Monaco,4
Indonesia,943
Mongolia,0
Netherlands,5359
Bonaire Sint Eustatius and Saba,0
Botswana,1
Lao PDR,0
Namibia,0
Qatar,12
Mexico,3160
Tanzania,21
Estonia,56
Haiti,12
Greenland,0
Hungary,405
Montserrat,1
El Salvador,16
Croatia,86
Russia,1723
Uzbekistan,10
Moldova,152
Liechtenstein,1
Burundi,1
Anguilla,0
Bermuda,7
Nicaragua,5
Turks and Caicos Is.,1
Belgium,8521
Italy,30201
Morocco,186
Venezuela,10
South Africa,178
Serbia,209
Taiwan,6
Armenia,43
Eritrea,0
Chad,28
Spain,26251
N. Mariana Is.,2
Guinea,11
Saudi Arabia,229
Bahrain,8
Gabon,8
U.S. Virgin Is.,4
São Tomé and Principe,5
Guatemala,24
International,7
Slovenia,100
Cameroon,108
Rwanda,0
Sint Maarten (Dutch part),15
Austria,614
Angola,2
Burkina Faso,48
Côte d'Ivoire,20
Grenada,0
Kyrgyzstan,12
Australia,97
Bahamas,11
Cyprus,21
Madagascar,0
Fr. Polynesia,0
Niger,44
Kazakhstan,31
Guernsey,13
Nepal,0
Georgia,10
Denmark,522
Isle of Man,23
Dominican Rep.,380
Mali,35
British Virgin Islands,1
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
